B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDWI,NDVI,output1
0.0772,0.0614,0.0966,0.0769,0.1306,0.1814,0.2112,0.2614,0.2258,0.1889,0.1846,0.1514,-0.4603352,0.545374,0
0.0772,0.043,0.0747,0.0478,0.0935,0.2023,0.2043,0.2938,0.2164,0.1889,0.1498,0.098,-0.5945726,0.7201405,0
0.0772,0.0376,0.0686,0.0406,0.0935,0.2023,0.2043,0.2798,0.2164,0.1889,0.1498,0.098,-0.6061998,0.7465668,0
0.0772,0.0408,0.0804,0.0517,0.1026,0.2256,0.2593,0.3333,0.2413,0.1889,0.1423,0.0891,-0.61131257,0.73142856,0
0.0772,0.0408,0.0804,0.0517,0.1026,0.2256,0.2593,0.3333,0.2413,0.1889,0.1423,0.0891,-0.61131257,0.73142856,0
0.0519,0.0433,0.0811,0.0588,0.1172,0.2605,0.2734,0.2876,0.2833,0.1926,0.1641,0.0929,-0.56007594,0.6605081,0
0.0519,0.046,0.083,0.0584,0.1172,0.2605,0.2734,0.277,0.2833,0.1926,0.1641,0.0929,-0.53888893,0.6517591,0
0.0519,0.0371,0.0684,0.0412,0.1125,0.2173,0.2398,0.2415,0.2358,0.1926,0.1581,0.0983,-0.5585673,0.70852494,0
0.0519,0.0376,0.0724,0.0446,0.1125,0.2173,0.2398,0.2641,0.2358,0.1926,0.1581,0.0983,-0.5696879,0.71104634,0
0.0519,0.0332,0.0612,0.0339,0.0846,0.1819,0.2072,0.2382,0.2187,0.1926,0.1368,0.0733,-0.59118235,0.7508269,0
0.0519,0.0296,0.0485,0.0289,0.0846,0.1819,0.2072,0.2286,0.2187,0.1926,0.1368,0.0733,-0.64994586,0.775534,0
0.0255,0.0345,0.0539,0.0479,0.0883,0.1699,0.2056,0.2088,0.2069,0.199,0.1586,0.0928,-0.589646,0.6268017,0
0.0255,0.0325,0.056,0.0363,0.0883,0.1699,0.2056,0.2518,0.2069,0.199,0.1586,0.0928,-0.63612735,0.74800414,0
0.0248,0.0309,0.051,0.0347,0.0826,0.1847,0.2128,0.2599,0.2459,0.2405,0.1427,0.0741,-0.67192024,0.76442635,0
0.0248,0.0286,0.0494,0.0323,0.0826,0.1847,0.2128,0.2474,0.2459,0.2405,0.1427,0.0741,-0.66711587,0.76903826,0
0.0248,0.0268,0.0441,0.0297,0.0834,0.1916,0.2261,0.2177,0.2377,0.2405,0.1352,0.0688,-0.6631016,0.759903,0
0.0248,0.0263,0.0464,0.0293,0.0834,0.1916,0.2261,0.2413,0.2377,0.2405,0.1352,0.0688,-0.6774418,0.7834442,0
0.0248,0.0292,0.0537,0.0324,0.0834,0.1993,0.2278,0.294,0.2559,0.2405,0.1422,0.0694,-0.69111305,0.8014706,0
0.0248,0.0316,0.0593,0.0388,0.0834,0.1993,0.2278,0.2668,0.2559,0.2405,0.1422,0.0694,-0.63630784,0.7460733,0
0.0284,0.0376,0.0597,0.0532,0.086,0.2067,0.2519,0.2372,0.2591,0.2328,0.1594,0.0861,-0.5978444,0.6336088,0
0.0284,0.0376,0.0597,0.0532,0.086,0.2067,0.2519,0.2372,0.2591,0.2328,0.1594,0.0861,-0.5978444,0.6336088,0
0.0284,0.0397,0.0559,0.06,0.0931,0.1994,0.2432,0.2268,0.25,0.2328,0.1678,0.0929,-0.6045278,0.58158994,0
0.0284,0.0474,0.0673,0.0689,0.0931,0.1994,0.2432,0.2362,0.25,0.2328,0.1678,0.0929,-0.5565074,0.54834485,0
0.0284,0.0491,0.0696,0.0712,0.0834,0.1984,0.2344,0.2296,0.2475,0.2328,0.1603,0.0851,-0.53475934,0.5265958,0
